,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,date,state,fips,cases,deaths
0,3.0,2.0,13.0,3.0,-1.0,0.0,2020-02-15,Arizona,4,1,0
1,1.0,1.0,19.0,1.0,-1.0,0.0,2020-02-15,California,6,7,0
2,4.0,3.0,10.0,3.0,3.0,-1.0,2020-02-15,Illinois,17,2,0
3,2.0,-4.0,0.0,3.0,-2.0,0.0,2020-02-15,Massachusetts,25,1,0
4,3.0,3.0,12.0,3.0,1.0,-1.0,2020-02-15,Texas,48,2,0
5,2.0,-1.0,8.0,8.0,-3.0,0.0,2020-02-15,Washington,53,1,0
6,7.0,6.0,22.0,3.0,3.0,-1.0,2020-02-15,Wisconsin,55,1,0
7,7.0,3.0,30.0,3.0,0.0,-1.0,2020-02-16,Arizona,4,1,0
8,5.0,0.0,31.0,1.0,-1.0,-1.0,2020-02-16,California,6,7,0
9,8.0,2.0,29.0,3.0,2.0,-1.0,2020-02-16,Illinois,17,2,0
10,6.0,-4.0,3.0,-1.0,0.0,0.0,2020-02-16,Massachusetts,25,1,0
11,8.0,3.0,20.0,4.0,1.0,-1.0,2020-02-16,Texas,48,2,0
12,15.0,3.0,19.0,5.0,-1.0,-1.0,2020-02-16,Washington,53,1,0
13,12.0,6.0,34.0,-1.0,2.0,-2.0,2020-02-16,Wisconsin,55,1,0
14,9.0,1.0,35.0,1.0,-25.0,5.0,2020-02-17,Arizona,4,1,0
15,9.0,1.0,44.0,-12.0,-38.0,8.0,2020-02-17,California,6,7,0
16,2.0,-3.0,-14.0,-13.0,-23.0,6.0,2020-02-17,Illinois,17,2,0
17,11.0,-2.0,32.0,-26.0,-42.0,9.0,2020-02-17,Massachusetts,25,1,0
18,7.0,1.0,13.0,1.0,-14.0,4.0,2020-02-17,Nebraska,31,10,0
19,6.0,2.0,21.0,2.0,-18.0,4.0,2020-02-17,Texas,48,2,0
20,12.0,2.0,63.0,-7.0,-35.0,6.0,2020-02-17,Washington,53,1,0
21,-6.0,-2.0,-1.0,-7.0,-5.0,3.0,2020-02-17,Wisconsin,55,1,0
22,2.0,2.0,14.0,6.0,2.0,0.0,2020-02-18,Arizona,4,1,0
23,0.0,0.0,16.0,3.0,0.0,0.0,2020-02-18,California,6,7,0
24,1.0,-1.0,5.0,2.0,1.0,0.0,2020-02-18,Illinois,17,2,0
25,-4.0,-10.0,-18.0,-4.0,-10.0,3.0,2020-02-18,Massachusetts,25,1,0
26,5.0,2.0,24.0,6.0,2.0,0.0,2020-02-18,Nebraska,31,10,0
27,-1.0,-1.0,-4.0,3.0,1.0,0.0,2020-02-18,Texas,48,2,0
28,5.0,2.0,52.0,7.0,-4.0,0.0,2020-02-18,Washington,53,1,0
29,-1.0,0.0,17.0,3.0,0.0,0.0,2020-02-18,Wisconsin,55,1,0
